code;name;latitude;longitude;country_code;zone_code
AAL;Aalborg Airport;57.09275891;9.849243164;DK;EU
AAP;Aji Pangeran Tumenggung Pranoto International Airport;-0.374448;117.249392;ID;AS
ABQ;Albuquerque International Sunport;35.040199;-106.609001;US;NA
ABV;Nnamdi Azikiwe International Airport;9.006790161;7.263169765;NG;AF
ABZ;Aberdeen Dyce Airport;57.20190048;-2.197779894;GB;EU
ACA;General Juan N Alvarez International Airport;16.75709915;-99.7539978;MX;NA
ACC;Kotoka International Airport;5.6051898;-0.166786;GH;AF
ADA;Adana Airport;36.98220062;35.28039932;TR;AS
ADB;Adnan Menderes International Airport;38.29240036;27.15699959;TR;AS
ADD;Addis Ababa Bole International Airport;8.977890015;38.79930115;ET;AF
ADL;Adelaide International Airport;-34.945;138.531006;AU;OC
ADW;Joint Base Andrews;38.810799;-76.866997;US;NA
AER;Sochi International Airport;43.449902;39.9566;RU;EU
AFW;Fort Worth Alliance Airport;32.98759842;-97.31880188;US;NA
AGP;Malaga Airport;36.67490005;-4.499110222;ES;EU
AGS;Augusta Regional At Bush Field;33.36989975;-81.96450043;US;NA
AKL;Auckland International Airport;-37.0080986;174.7920074;NZ;OC
AKT;RAF Akrotiri;34.590401;32.9879;GB;EU
ALA;Almaty Airport;43.35210037;77.04049683;KZ;AS
ALC;Alicante International Airport;38.28219986;-0.558156013;ES;EU
ALG;Houari Boumediene Airport;36.69100189;3.215409994;DZ;AF
ALP;Aleppo International Airport;36.18069839;37.22439957;SY;AS
AMA;Rick Husband Amarillo International Airport;35.219398;-101.706001;US;NA
AMM;Queen Alia International Airport;31.72260094;35.99319839;JO;AS
AMS;Amsterdam Airport Schiphol;52.308601;4.76389;NL;EU
ANC;Ted Stevens Anchorage International Airport;61.17440033;-149.9960022;US;NA
ARN;Stockholm-Arlanda Airport;59.65190125;17.91860008;SE;EU
ASB;Ashgabat International Airport;37.986801;58.361;TM;AS
ATH;Eleftherios Venizelos International Airport;37.93640137;23.94449997;GR;EU
ATL;Hartsfield Jackson Atlanta International Airport;33.6367;-84.428101;US;NA
ATQ;Sri Guru Ram Dass Jee International Airport;31.70960045;74.79730225;IN;AS
AUH;Abu Dhabi International Airport;24.43300056;54.65110016;AE;AS
AUS;Austin Bergstrom International Airport;30.19449997;-97.66989899;US;NA
AVL;Asheville Regional Airport;35.43619919;-82.54180145;US;NA
AYT;Antalya International Airport;36.898701;30.800501;TR;AS
BAB;Beale Air Force Base;39.13610077;-121.4369965;US;NA
BAD;Barksdale Air Force Base;32.50180054;-93.66269684;US;NA
BAH;Bahrain International Airport;26.27079964;50.63359833;BH;AS
BCN;Barcelona International Airport;41.2971;2.07846;ES;EU
BDL;Bradley International Airport;41.93889999;-72.68319702;US;NA
BEG;Belgrade Nikola Tesla Airport;44.81840134;20.3090992;RS;EU
BEL;Val de Cans/Julio Cezar Ribeiro International Airport;-1.37925005;-48.47629929;BR;SA
BEY;Beirut Rafic Hariri International Airport;33.82089996;35.48839951;LB;AS
BFI;Boeing Field King County International Airport;47.52999878;-122.302002;US;NA
BFS;Belfast International Airport;54.65750122;-6.215829849;GB;EU
BGO;Bergen Airport Flesland;60.29339981;5.218140125;NO;EU
BGR;Bangor International Airport;44.80739975;-68.82810211;US;NA
BGW;Baghdad International Airport;33.26250076;44.23460007;IQ;AS
BGY;Il Caravaggio International Airport;45.673901;9.70417;IT;EU
BHD;George Best Belfast City Airport;54.61809921;-5.872499943;GB;EU
BHM;Birmingham-Shuttlesworth International Airport;33.56290054;-86.75350189;US;NA
BHX;Birmingham International Airport;52.45389938;-1.748029947;GB;EU
BIL;Billings Logan International Airport;45.80770111;-108.5429993;US;NA
BJV;Milas Bodrum International Airport;37.25059891;27.66430092;TR;AS
BKK;Suvarnabhumi Airport;13.68109989;100.7470016;TH;AS
BKO;Modibo Keita International Airport;12.5335;-7.94994;ML;AF
BLA;General Jose Antonio Anzoategui International Airport;10.111111;-64.692222;VE;SA
BLL;Billund Airport;55.74029922;9.151780128;DK;EU
BLQ;Bologna Guglielmo Marconi Airport;44.5354;11.2887;IT;EU
BLR;Kempegowda International Airport;13.1979;77.706299;IN;AS
BLV;Scott AFB/Midamerica Airport;38.5452;-89.835197;US;NA
BMI;Central Illinois Regional Airport at Bloomington-Normal;40.47710037;-88.91590118;US;NA
BNA;Nashville International Airport;36.12450027;-86.67819977;US;NA
BNE;Brisbane International Airport;-27.38419914;153.1170044;AU;OC
BOD;Bordeaux-Merignac Airport;44.82830048;-0.715556026;FR;EU
BOG;El Dorado International Airport;4.70159;-74.1469;CO;SA
BOH;Bournemouth Airport;50.77999878;-1.842499971;GB;EU
BOI;Boise Air Terminal/Gowen Field;43.5644;-116.223;US;NA
BOJ;Burgas Airport;42.56959915;27.51519966;BG;EU
BOM;Chhatrapati Shivaji International Airport;19.08869934;72.86789703;IN;AS
BOO;Bodo Airport;67.26920319;14.36530018;NO;EU
BOS;General Edward Lawrence Logan International Airport;42.36429977;-71.00520325;US;NA
BRE;Bremen Airport;53.04750061;8.786669731;DE;EU
BRI;Bari Karol Wojtyla Airport;41.138901;16.760599;IT;EU
BRS;Bristol Airport;51.382702;-2.71909;GB;EU
BRU;Brussels Airport;50.90140152;4.48443985;BE;EU
BSB;Presidente Juscelino Kubistschek International Airport;-15.86916733;-47.92083359;BR;SA
BSL;EuroAirport Basel-Mulhouse-Freiburg Airport;47.59;7.529167;FR;EU
BSR;Basrah International Airport;30.54910088;47.66210175;IQ;AS
BTS;M. R. Stefanik Airport;48.17020035;17.21269989;SK;EU
BUD;Budapest Liszt Ferenc International Airport;47.42976;19.261093;HU;EU
BUF;Buffalo Niagara International Airport;42.94049835;-78.73220062;US;NA
BWI;Baltimore/Washington International Thurgood Marshall Airport;39.1754;-76.668297;US;NA
BWN;Brunei International Airport;4.944200039;114.9280014;BN;AS
BZE;Philip S. W. Goldson International Airport;17.53910065;-88.30819702;BZ;NA
BZZ;RAF Brize Norton;51.75;-1.58362;GB;EU
CAE;Columbia Metropolitan Airport;33.93880081;-81.11949921;US;NA
CAG;Cagliari Elmas Airport;39.251499;9.05428;IT;EU
CAI;Cairo International Airport;30.12190056;31.40559959;EG;AF
CAN;Guangzhou Baiyun International Airport;23.39240074;113.2990036;CN;AS
CBM;Columbus Air Force Base;33.64379883;-88.44380188;US;NA
CBR;Canberra International Airport;-35.30690002;149.1950073;AU;OC
CCJ;Calicut International Airport;11.13679981;75.95529938;IN;AS
CCS;Simon Bolivar International Airport;10.601194;-66.991222;VE;SA
CCU;Netaji Subhash Chandra Bose International Airport;22.65469933;88.44670105;IN;AS
CDG;Charles de Gaulle International Airport;49.012798;2.55;FR;EU
CEB;Mactan Cebu International Airport;10.30749989;123.9789963;PH;AS
CGH;Congonhas Airport;-23.62611008;-46.65638733;BR;SA
CGK;Soekarno-Hatta International Airport;-6.12556982;106.6559982;ID;AS
CGN;Cologne Bonn Airport;50.86589813;7.142739773;DE;EU
CGO;Zhengzhou Xinzheng International Airport;34.5196991;113.8410034;CN;AS
CGY;Laguindingan Airport;8.612203;124.456496;PH;AS
CHA;Lovell Field;35.03530121;-85.20379639;US;NA
CHC;Christchurch International Airport;-43.48939896;172.5319977;NZ;OC
CHS;Charleston Air Force Base-International Airport;32.89860153;-80.04049683;US;NA
CIA;Ciampino-G. B. Pastine International Airport;41.7994;12.5949;IT;EU
CID;The Eastern Iowa Airport;41.88470078;-91.71080017;US;NA
CJJ;Cheongju International Airport/Cheongju Air Base (K-59/G-513);36.717008;127.498741;KR;AS
CJU;Jeju International Airport;33.51129913;126.4929962;KR;AS
CKG;Chongqing Jiangbei International Airport;29.71920013;106.6419983;CN;AS
CLE;Cleveland Hopkins International Airport;41.4117012;-81.84980011;US;NA
CLT;Charlotte Douglas International Airport;35.2140007;-80.94309998;US;NA
CMB;Bandaranaike International Colombo Airport;7.180759907;79.88410187;LK;AS
CMH;John Glenn Columbus International Airport;39.998001;-82.891899;US;NA
CMN;Mohammed V International Airport;33.36750031;-7.589970112;MA;AF
CNF;Tancredo Neves International Airport;-19.62444305;-43.9719429;BR;SA
CNX;Chiang Mai International Airport;18.76679993;98.96260071;TH;AS
COK;Cochin International Airport;10.152;76.401901;IN;AS
COS;City of Colorado Springs Municipal Airport;38.805801;-104.700996;US;NA
CPH;Copenhagen Kastrup Airport;55.61790085;12.65600014;DK;EU
CPT;Cape Town International Airport;-33.96480179;18.60169983;ZA;AF
CRK;Diosdado Macapagal International Airport;15.186;120.559998;PH;AS
CRL;Brussels South Charleroi Airport;50.459202;4.45382;BE;EU
CRP;Corpus Christi International Airport;27.77039909;-97.50119781;US;NA
CRW;Yeager Airport;38.37310028;-81.59320068;US;NA
CSX;Changsha Huanghua International Airport;28.18919945;113.2200012;CN;AS
CTA;Catania-Fontanarossa Airport;37.466801;15.0664;IT;EU
CTS;New Chitose Airport;42.77519989;141.6920013;JP;AS
CTU;Chengdu Shuangliu International Airport;30.57850075;103.9469986;CN;AS
CUN;Cancun International Airport;21.03650093;-86.87709808;MX;NA
CUZ;Alejandro Velasco Astete International Airport;-13.53569984;-71.938797;PE;SA
CVG;Cincinnati Northern Kentucky International Airport;39.048801;-84.667801;US;NA
CVS;Cannon Air Force Base;34.38280106;-103.3219986;US;NA
CWB;Afonso Pena Airport;-25.5284996;-49.17580032;BR;SA
CWL;Cardiff International Airport;51.39670181;-3.343329906;GB;EU
DAB;Daytona Beach International Airport;29.179899;-81.058098;US;NA
